question_id,query,gold_answer,model_answer,is_correct
111.0,"Consider the following statements about the 'Universal Declaration of Human Rights':  Answer Choices: (a) The declaration consists of 30 Articles., (b) Articles first and second contains economic, social and cultural rights., (c) Articles 3 to 21 contains civil and political rights. 

Which of the statements given above is/ are correct ? ",4,3,False
112.0,"Which article of the Universal Declaration of Human Rights says - no one shall be subjected to arbitrary arrest, detention or exile? Answer Choices: (1) Article 9, (2) Article 7, (3) Article 10, (4) Article 11",1,1,True
113.0,"Which basic principles covers in Article 11 of the Universal Declaration of Human Rights? Answer Choices: (a) The presumption of innocence, (b) The right to a defence, (c) The right to public hearing (d) Retroactivity of law 
",1,4,False
114.0,"Which one of the following are accepted as Millennium Development Goals (MDGs) by? Answer Choices: (a) Eradicate extreme poverty and hunger., (b) Achieve universal primary education., (c) Develop a global partnership for development., (d) Reduce child mortality., (e) Combat HIV/ AIDS, Malaria and other diseases. 
",1,"1. (a), (b), (d), (e)",False
115.0,"Consider the following statements about 'International Court of Justice': Answer Choices: (a) Of the six principal organs of the UN, it is the only one not located in New-York., (b) It is composed of 15 judges, who are selected for terms of nine years only by the Security Council., (c) It elects a President and the Vice President for a three year term., (d) States alone have capacity to appear before the court. 

Which of the statements given above is/ are correct ?",1,3,False
116.0,"Consider the following statements about European Union : Answer Choices: (a) It is a Political and Economic Union.,(b) It was formally established by the Maastricht Treaty.,(c) In 2007 Austria and Sweden became the members of European Union., (d) In 2012 the European Union received the Nobel Peace Prize.,

Which of the above statements are correct ?",3,2,False
117.0,"Which declaration was a landmark declaration to establish links between democracy, development and respect for human rights and fundamental freedoms ? Answer Choices: (1) Tokyo Declaration 2012, (2) Paris Declaration 1960, (3) Vienna Declaration 1993, (4) London Declaration 1950",3,3,True
118.0,"Select the correct statements - (National Human Right Commission of India): Answer Choices: (a) A Chairperson should be retired Chief Justice of Supreme Court., (b) Chairman of four National Commissions (Scheduled Castes, Scheduled Tribe, Women and Minorities) serves as ex-officio members., (c) The Chairperson and Members are appointed by President of India. , (d) President of India is a Chairman of recommendation Committee for appointment of Chairperson and Members of NHRC.
",2,3,False
119.0,"Which of the following statements about the functions of the National Human Rights Commission is/ are correct ?: Answer Choices: (a) To undertake visits to jails and detention places to study the living conditions of inmates with the prior intimation to the State Governments., (b) To intervene in any proceeding involving allegation of violation of human rights pending before a court without the approval of such court., (c) To review the factors, excluding acts of terrorism that inhibit the enjoyment of human rights and recommend appropriate remedial measures.
",4,4,True
120.0,"Which one of the following is wrongly stated objective of United Nations (UN) according to UN charter ?: Answer Choices: (1) to maintain intemational peace and security., (2) to develop friendly relations among nations., (3) to cooperate in solving international problems and in promoting respect for human rights., (4) to avoid large scale military exercises.
",4,4,True
121.0,"Age - Care India (ACI) was established in 1980 with the aims and objectives of helping and serving _________ by providing institutional services.: Answer Choices: (1) The children in 06 to 14 years of age group., (2) The children below 06 years of age., (3) The aged males and females above 50 years of age., (4) The aged males and females above 65 years of age
",3,1,False
122.0,"Which of the following schemes/ provisions had been made by the government to improve the condition of the aged persons ?: Answes Choices: (a) Central Government Health Scheme (CGHS)., (b) Indira Gandhi National Old Age Pension Scheme (IGNOAPS)., (c) National Pension Scheme (NPS)., (d) National Programme for Health Care of the Elderly (NPHCE)
",4,2. (b) Indira Gandhi National Old Age Pension Scheme (IGNOAPS).,False
123.0,"All India Sports Council of the Deaf (AISCD) was established in ________.: Answer Choices:
(1) 1950, (2) 1959, (3) 1962, (4) 1965",4,3,False
124.0,"In which of the following house political reservation is given for Scheduled Castes and Scheduled Tribes under Article 330 of the Constitution of India ?: Answer Choices:
(a) Lok Sabha, (b) Rajya Sabha, (c) Vidhan Sabha, (d) Vidhan Parishad",4,1. Lok Sabha,False
125.0,"Which of the following benefits are given under the Employees State Insurance Act, 1948 ? Answer Choices: (a) Sickness benefit, maternity benefit. , (b) Disablement benefit, dependent benefit. , (c) Medical benefit for employee and his dependents. , (d) Funeral benefit.
",3,"1. Sickness benefit, maternity benefit.",False
126.0,"Match the following : Answer Choices:

    (Government Measures                                                (Objectives)
for Persons with Disabilities (PWD))                       

(a) The National Trust                                             (i) Regulating training policies and programmes for                   
                                                                                rehabilitation and special education

(b) The Rehabilitation Council                                  (ii) To deal with multi-dimensional  
                                                                                 problems of the disabled population

(c) The National Handicapped Finance	                (iii) Enable and empower persons with 
      and Development Corporation (NHFDC)                   disabilities

(d) The Apex-level National Institutes                        (iv) Extends credit facilities to persons with 
                                                                                  with disabilities for their economic 
                                                                                  development                                                         ",3,2,False
127.0,"Which of the following statements is/are correct ?  Answer Choices:  (a) Mechanical environment consists of development of machines and consequent industrial processes.  , (b) Unsatisfactory mechanical environment gives birth to problems of industrial fatigue, monotony, frustration and accidents. 
",3,3,True
128.0,"The proper system used to strengthen the affected parts of the body is called ________. Answer Choices: (1) Mental Rehabilitation , (2) Social Rehabilitation , (3) Spiritual Rehabilitation , (4) Medical Rehabilitation",4,4,True
129.0,"Which is the type of ""Help-Age India"" institute ? Answer Choices: (1) Governmental organisation , (2) Corporation , (3) Semi-government organisation , (4) Voluntary organisation ",4,4,True
130.0,"For which of the following, the High Power Committee was constituted in 1999 ? Answer Choices: (a) Disaster management , (b) Earthquake management , (c) Pollution control , (d) Chemical war management ",2,2,True
131.0,"Which of the following are objectives of labour welfare ? Answer Choices: (a) To provide better life and health to the workers. , (b) To make the workers happy and satisfied. , (c) To relieve workers from industrial fatigue. , (d) To improve intellectual, cultural and material conditions of living of the workers.",3,4,False
132.0,"For which purpose was the National Institute for the Mentally Handicapped (NIMH) established ? Answer Choices: , (a) To develop models of care for the mentally handicapped. , (b) To conduct research in the area of mental handicaps. , (c) To promote human resource development to work with mentally handicapped.",4,3,False
133.0,"For the education of the Blind, the Indian Expert Braille Committee worked out a common Braille code for all Indian Languages known as ________. Answer Choices: (1) Central Braille , (2) Bharati Braille , (3) Indian Braille , (4) Blind Braille Language
",2,2,True
134.0,"The Factories Act, 1948 deals with which of the following? Answer Choices: (a) health, safety and welfare, (b)	wages, recreation and housing, (c) union, lockout and strike, (d) unfair labour practices",3,"1. health, safety and welfare",False
135.0,"Which of the following statements is correct? Answer Choices: (a) United Nations declared year 1999 as the International Year of Older Persons., (b) United Nations celebrates International Day of Elderly People on 1 st October every year.",3,4,False
136.0,"The term ""_________"" appeared for the first time in the Government of India Act, 1935. Answer Choices: (1) Social Rehabilitation, (2) Scheduled Castes, (3) Other Backward class, (4) Social Inclusion",2,2,True
137.0,"In which of the following areas First Labour Enquiry was conducted in 1950-51? Answer Choices: (a) Tea plantation labour, (b) Agriculture labour, (c) Industrial labour, (d) Stone-quarry labour",4,3,False
138.0,"In which of the following states displaced persons due to Pong Dam were settled? Answer Choices: (1) Punjab, (2) Rajasthan, (3) Haryana, (4) Uttar Pradesh",2,1,False
139.0,"Select the correct statement about Framework. Answer Choices: (a) This framework was passed by United Nations Organisation's conference at Sendai (Japan) on 18th March 2015., (b) This framework is regarding measures for Disaster Risk Reduction., (c) This is a onward step of Hyogo Framework about disaster management., (d) The provisions in this framework are binding on member counfries.",3,3,True
140.0,"Which of these measures are taken for development of socially deprived classes? Answer Choices: (a) Jan Dhan Yojana, (b) Green Business Scheme, (c) Make in India, (d) Sanitary Mart Scheme (construction of toilets/ bio-degradable toilets)
",1,1. Jan Dhan Yojana,False
141.0,"Consider the following statements regarding National Commission for Scheduled Tribes. Answer Choices: (a) As per the 89th Constitutional Amendment, Independent National Commission for Scheduled Tribes was set up in 2004., (b) Provision has been made in this regard in section 338(a) of the Constitution., (c) The Commission includes 5 members besides the Chairperson and Deputy Chairperson., (d) In February 2017, Mr. Nandkumar Sai has assumed charge as the Chairperson of the Commission.

Which of the statement/ statements are incorrect ?
",2,4,False
142.0,"The book entitled ""Old and Alone"" is written by_______. : Answer Choices: (1) Horton and Leslie, (2) Seldon Bacon, (3) Dr. Durfee, (4) Jeremy Tunstall

",2,2,True
143.0,"Which of the following is related with Justice Agrawal Commission ? : Answer Choices: (1) Finding out shortcomings in the Scheduled Castes and Scheduled Tribes (Prevenüon of Atrocities) Act., (2) Functioning of Panchayat Bodies., (3) Indusion of nomadic and denotified tribes in SC/ ST., (4) Implementation of reservation for other Backward class.",3,3,True
144.0,"Match the following:
 
Institutions                                                                                                     Places
(a) National Institute for the Visually Handicapped                                      (i) Mumbai
(b) National Institute for the Orthopaedically Handicapped                         (ii) Secunderabad
(c) National Institute for the Mentally Handicapped                                    (iii) Dehradun
(d) Ali Yavar Jung National Institute for the Hearing Handicapped             (iv) Kolkatta",4,"2. (a) National Institute for the Visually Handicapped - (iii) Dehradun
1. (b) National Institute for the Orthopaedically Handicapped - (ii) Secunderabad
4. (c) National Institute for the Mentally Handicapped - (i) Mumbai
3. (d) Ali Yavar Jung National Institute for the Hearing Handicapped - (iv) Kolkatta",False
145.0,"According to the earthquake rehabilitation policy of Maharashtra Government, which of the following is the criterion of assistance ?: Answer Choices: (a) Villages in which more than 70% of houses suffered category TV and V damages, would be relocated and reconstructed on new site., (b) Villages in which more than 55% of the houses suffered damages, would be relocated and reconstructed on new site.",3,2,False
146.0,"Every District Consumer Forum shall consists of the following : Answer Choices: (1) The President only, (2) Two members, one of whom shall be a woman, (3) President and two other members, one of whom shall be woman, (4) None of the above",3,3,True
147.0,"Under the provisions of Consumer Protection Act - "" Excessive Price"" means - Price in excess of the price .: Answer Choices:  (a) displayed on goods., (b) price fixed under any Law for the time being in force, (c) price displayed on package containing such goods., (d) price displayed by writing on the board by the trader in his shop.



Choose the correct answer",3,2,False
148.0,"Match the following regarding the Consumer Protection Act, 1986

Section                                        definition
(a) 2(1) (b)                                   (i) Complainant
(b) 2(1) (f)                                    (ii) Defect
(c) 2(1) (j)                                    (iii) Manufacturer
(d) 2(1) (m)                                 (iv) Person",2,"1. 2(1) (b) - (ii) Defect
2. 2(1) (f) - (iii) Manufacturer
3. 2(1) (j) - (i) Complainant
4. 2(1) (m) - (iv) Person

So, the correct match is:

1. 2(1)(b) - (ii) Defect
2. 2(1)(f) - (iii) Manufacturer
3. 2(1)(j) - (i) Complainant
4. 2(1)(m) - (iv) Person

Therefore, the answer is 1.",False
149.0,"Which of the following is not the right of the consumer to be protected as menåoned under Consumer Protection Act, 1986 ?: Answer Choices: (1) Right to Consumer Education., (2) The right to be informed about quality and purity of the goods sold., (3) The right to seek redressal against unfair trade practice and unscrupulous exploitation of consumer., (4) Right to get branded goods at low price in the nearby shop.",4,4,True
150.0,"The Consumer Protection Act, 1986 contains______ sections in ________ chapters. :Answer Choices: (1) 30, V, (2) 31, IV, (3) 34, IV, (4) 32, VI",2,4,False
